x,y,z,delta_z,vx,vy,vz,delta_vz,ax,ay,az,heading,delta_heading,dist_bottom,eph,epv,evh,evv,z_reset_counter,vz_reset_counter,heading_reset_counter,dist_bottom_valid
0.2639273056845817,0.3605341664012308,0.9584327543756238,0.0,0.017344551041034217,0.16248489539430477,0.29170677921723415,9.71445146547012e-17,0.7373446852532421,0.4070729484955742,0.11128125973924113,0.6333668696224981,0.924333057004751,0.03960468600495672,0.18674777772378448,0.3746201002706364,0.5163683372853303,0.5212611344279683,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.2586875826240909,0.3592399585569168,0.9577943850898489,0.0,0.021503887679084843,0.17219364448466568,0.2891226056943171,0.0,0.8519256916561334,0.8071635816770896,0.1191817004791434,0.6331139132670041,0.924333057004751,0.04024436046277675,0.24356519351720607,0.41054795562428126,0.5483882049254278,0.5318987190330686,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.23658551731315652,0.3527797003066796,0.9546573732335176,0.0,0.03506662320324716,0.21255120059845628,0.2778937476780232,9.71445146547012e-17,0.9055364735950393,1.0000000000000002,0.13594978754697878,0.6477394947749886,0.92433266092508,0.04338779661857802,0.29015876212326397,0.43197736167492096,0.5759345985005062,0.5465487019771764,0.0,6.661338147750939e-16,0.07566733907491408,0.9220282324707874
0.20661949746803704,0.34409749486341334,0.9499814345587911,0.0,0.05792140759398973,0.25661237914660057,0.262268713896716,9.71445146547012e-17,0.7074318007026641,0.43792497483511894,0.1460087037283967,0.6728708564996655,0.924333057004751,0.04807331432083161,0.24212970596228445,0.3884334282132187,0.548756885450171,0.5493286303521758,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.18011081588975775,0.3378542581351124,0.9456042754568249,0.0,0.09289547840530954,0.2769398797446442,0.24809100828250685,9.71445146547012e-17,0.5987667007683772,0.3643261541735647,0.1530772603115064,0.6850053854568605,0.9243349688420959,0.052459434370444785,0.24662893272283526,0.3846210678847015,0.5455548354748858,0.559732988621306,0.0,6.661338147750939e-16,0.07566503115790368,0.9220281841943796
0.1546593293053221,0.33237248200694913,0.9411375087037455,0.0,0.13984154495029488,0.29237358845924094,0.23413937024833292,9.71445146547012e-17,0.6107874516673776,0.5887048190718679,0.16137642857872447,0.6951263818856237,0.924333057004751,0.05693534361637214,0.294228968942873,0.4029216574833079,0.5616197393134037,0.5766348609942371,0.0,4.440892098500626e-16,0.075666942995257,0.9220282241856963
0.1292888151568538,0.32649672102173655,0.9363771761682325,0.0,0.1929535407951285,0.32442227897182424,0.22012849717478522,9.71445146547012e-17,0.7002856516486541,0.642917533620409,0.17238575662474329,0.7151605664413543,0.9243252261820849,0.061705424320699344,0.3357748840171215,0.4059826845753278,0.5715707438615993,0.5922726334001833,0.0,4.440892098500626e-16,0.07567477381791932,0.9220283879888077
0.10507676867671661,0.32355092307793365,0.9314855150762082,0.0,0.24363502530786643,0.3683997866102481,0.20750766565953138,9.71445146547012e-17,0.7738760830947405,0.5472483976005964,0.182205983232831,0.7287693045859198,0.924333057004751,0.06660710432523964,0.3431666520032035,0.4174333389230789,0.5626718802261195,0.6030312894844831,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.08335170452108137,0.32567111352438916,0.926809720490102,0.0,0.2850192612387977,0.4110153362084988,0.19739251281724612,9.71445146547012e-17,0.7756108790312368,0.4424464136401718,0.1864874179596603,0.7238120206564167,0.9243582573278586,0.07129247387821105,0.3139926855515771,0.45560019084368975,0.5359817937164841,0.6085274414066992,0.0,6.661338147750939e-16,0.07564174267213453,0.9220276970518926
0.06091104643333234,0.3307105057730345,0.9219778882637032,0.0,0.32243978133076967,0.4466037591589517,0.1874805336151658,9.71445146547012e-17,0.7771209768259437,0.34769522954500653,0.18213059387292094,0.7159530309616962,0.924333057004751,0.07613419960842766,0.27704487184860227,0.4890032805998068,0.5064606770239308,0.612525925458792,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
